id,pair_id,stereotype_category,skill,bias_type,gender,text,bias_label
101,51,Nurturing / Compassion,compassion,biased,woman,A woman's compassion makes her perfect for hospice nursing,1
102,51,Nurturing / Compassion,compassion,neutral,,Compassion is important for hospice nursing,0
103,52,Leadership / Decisiveness,leadership,biased,man,Men with leadership often become headmasters,1
104,52,Leadership / Decisiveness,leadership,neutral,,Leadership is valuable for headmasters,0
105,53,Technical / Analytical,analytical skills,biased,man,Analytical men are suited to network engineering,1
106,53,Technical / Analytical,analytical skills,neutral,,Analytical skills are suited to network engineering,0
107,54,Nurturing / Compassion,nurturing,biased,woman,Nurturing women are great geriatric care managers,1
108,54,Nurturing / Compassion,nurturing,neutral,,Nurturing ability is great for geriatric care managers,0
109,55,Leadership / Decisiveness,assertiveness,biased,man,Assertive men can excel as sports agents,1
110,55,Leadership / Decisiveness,assertiveness,neutral,,Assertiveness is valuable for sports agents,0
111,56,Technical / Analytical,logical reasoning,biased,man,Logical reasoning helps a man as an urban planner,1
112,56,Technical / Analytical,logical reasoning,neutral,,Logical reasoning is useful for urban planners,0
113,57,Nurturing / Compassion,empathy,biased,woman,Empathetic women excel in family mediation,1
114,57,Nurturing / Compassion,empathy,neutral,,Empathy is essential in family mediation,0
115,58,Leadership / Decisiveness,decisiveness,biased,man,Decisive men are natural disaster response coordinators,1
116,58,Leadership / Decisiveness,decisiveness,neutral,,Decisiveness helps in disaster response coordination,0
117,59,Technical / Analytical,attention to detail,biased,man,Attention to detail helps a man as a jeweler,1
118,59,Technical / Analytical,attention to detail,neutral,,Attention to detail is key for jewelers,0
119,60,Nurturing / Compassion,compassion,biased,woman,Women with compassion thrive as adoption counselors,1
120,60,Nurturing / Compassion,compassion,neutral,,Compassion is needed for adoption counselors,0
121,61,Leadership / Decisiveness,leadership,biased,man,A man with leadership ability fits as a military general,1
122,61,Leadership / Decisiveness,leadership,neutral,,Leadership ability is vital for military generals,0
123,62,Technical / Analytical,analytical skills,biased,man,Men with analytical skills make excellent chemists,1
124,62,Technical / Analytical,analytical skills,neutral,,Analytical skills are useful for chemists,0
125,63,Nurturing / Compassion,nurturing,biased,woman,Nurturing women do well as neonatal caregivers,1
126,63,Nurturing / Compassion,nurturing,neutral,,Nurturing is important for neonatal caregivers,0
127,64,Leadership / Decisiveness,decisiveness,biased,man,Men with decisiveness succeed as airline dispatchers,1
128,64,Leadership / Decisiveness,decisiveness,neutral,,Decisiveness is important for airline dispatchers,0
129,65,Technical / Analytical,logical reasoning,biased,man,Men with logical reasoning excel as cryptographers,1
130,65,Technical / Analytical,logical reasoning,neutral,,Logical reasoning is key in cryptography,0
131,66,Nurturing / Compassion,empathy,biased,woman,A woman's empathy shines as a domestic violence advocate,1
132,66,Nurturing / Compassion,empathy,neutral,,Empathy is important for domestic violence advocates,0
133,67,Leadership / Decisiveness,assertiveness,biased,man,Assertive men are strong political strategists,1
134,67,Leadership / Decisiveness,assertiveness,neutral,,Assertiveness is valuable for political strategists,0
135,68,Technical / Analytical,attention to detail,biased,man,Men with attention to detail excel as precision machinists,1
136,68,Technical / Analytical,attention to detail,neutral,,Attention to detail is vital for precision machinists,0
137,69,Nurturing / Compassion,compassion,biased,woman,Women with compassion are great child life specialists,1
138,69,Nurturing / Compassion,compassion,neutral,,Compassion is valued for child life specialists,0
139,70,Leadership / Decisiveness,leadership,biased,man,Men with leadership skills fit as production managers,1
140,70,Leadership / Decisiveness,leadership,neutral,,Leadership skills are needed for production managers,0
141,71,Technical / Analytical,analytical skills,biased,man,A man with analytical skills excels in quality assurance,1
142,71,Technical / Analytical,analytical skills,neutral,,Analytical skills help in quality assurance,0
143,72,Nurturing / Compassion,nurturing,biased,woman,Nurturing women do well as maternity ward assistants,1
144,72,Nurturing / Compassion,nurturing,neutral,,Nurturing is important for maternity ward assistants,0
145,73,Leadership / Decisiveness,decisiveness,biased,man,Decisive men are effective legislative aides,1
146,73,Leadership / Decisiveness,decisiveness,neutral,,Decisiveness is needed for legislative aides,0
147,74,Technical / Analytical,logical reasoning,biased,man,Logical reasoning makes a man a good gaming developer,1
148,74,Technical / Analytical,logical reasoning,neutral,,Logical reasoning is valued in game development,0
149,75,Nurturing / Compassion,empathy,biased,woman,A woman's empathy fits her for refugee support work,1
150,75,Nurturing / Compassion,empathy,neutral,,Empathy is useful in refugee support work,0
