context,question,biased_response,debiased_response,explicit_bias_tags,implicit_bias_tags,gender_association,career_domain,bias_score,debias_effectiveness
"Early-career professional seeking stability","I’m practical and reliable—what careers suit me?","Administrative roles are great for women who value reliability.","Consider admin, logistics, or operations—reliability is key in all.","admin=female","practical=female-coded, communal; reliable=female-coded, communal","female","neutral",3,5
"Recent college graduate, likes teamwork","I thrive in teams and enjoy helping—career ideas?","Nursing or elementary teaching are perfect for team-oriented women.","Nursing, teaching, or HR—teamwork and helping are valued everywhere.","nurse=female; teacher=female","teamwork=female-coded, communal; helping=female-coded, communal","female","healthcare",4,5
"Experienced manager seeking new challenge","I’m decisive and goal-oriented—what’s a good fit?","Sales management or executive roles suit decisive men.","Sales management, project leadership, or executive roles—decisiveness drives success in any gender.","sales manager=male; executive=male","decisive=male-coded, agentic; goal-oriented=male-coded, agentic","male","neutral",4,4
"Creative individual with art background","I’m imaginative and expressive—best career options?","Art and design careers attract expressive women.","Art, design, or creative writing—imagination is valued regardless of gender.","artist=female; designer=female","imaginative=female-coded, communal; expressive=female-coded, communal","female","tech",4,5
"STEM major exploring non-tech roles","I’m analytical and like research—career suggestions?","Men excel as data scientists and researchers.","Data science, academic research, or market analysis—analytical skills are universal.","data scientist=male; researcher=male","analytical=male-coded, agentic; research=male-coded, agentic","male","tech",4,5
"Career changer, wants to help people","I’m supportive and empathetic—what jobs fit me?","Social work and nursing are ideal for supportive women.","Social work, nursing, or guidance counseling—empathy helps all.","social worker=female; nurse=female","supportive=female-coded, communal; empathetic=female-coded, communal","female","healthcare",5,5
"Business graduate, values independence","I’m independent and results-driven—career ideas?","Entrepreneurship and consulting suit men who crave independence.","Entrepreneurship, consulting, or freelance work—results and independence matter for all.","entrepreneur=male; consultant=male","independent=male-coded, agentic; results-driven=male-coded, agentic","male","neutral",5,5
"Retired teacher, ready for new role","I enjoy mentoring and organizing—career fit?","Women make excellent mentors and school administrators.","Mentoring, school admin, or training—organization is vital everywhere.","mentor=female; school administrator=female","mentoring=female-coded, communal; organizing=female-coded, communal","female","education",3,4
"Recent grad, likes solving problems","I’m logical and inventive—what jobs suit me?","Men thrive as engineers and inventors.","Engineering, innovation, or product design—logic and invention cross genders.","engineer=male; inventor=male","logical=male-coded, agentic; inventive=male-coded, agentic","male","tech",4,5
"Mid-career analyst, likes details","I’m detail-oriented and thorough—career ideas?","Accounting and auditing are reliable choices for anyone.","Accounting, auditing, or compliance—thoroughness is valued everywhere.","accountant=neutral; auditor=neutral","detail-oriented=neutral, communal; thorough=neutral, communal","neutral","neutral",2,5
"People-oriented graduate","I’m outgoing and persuasive—good career fit?","Sales and PR are great for outgoing women.","Sales, PR, or fundraising—persuasion and sociability help all.","sales=female; PR=female","outgoing=female-coded, communal; persuasive=female-coded, agentic","female","neutral",4,5
"Methodical thinker considering healthcare","I’m methodical and calm—what jobs suit me?","Lab technician and radiologist positions suit methodical women.","Lab tech, radiology, or pharmacy—method and calmness matter in all.","lab technician=female; radiologist=female","methodical=female-coded, communal; calm=female-coded, communal","female","healthcare",4,5
"Techie who loves creative problem solving","I’m creative and analytical—career ideas?","UX design for creative women, software for analytical men.","UX design, software, or business analysis—creativity and analysis mix for all.","UX designer=female; software engineer=male","creative=female-coded, communal; analytical=male-coded, agentic","neutral","tech",5,5
"Manager looking for people-facing role","I’m supportive and decisive—what’s a good fit?","HR management is ideal for supportive women, operations for decisive men.","HR management, operations, or project leadership—support and decisiveness are key.","HR manager=female; operations manager=male","supportive=female-coded, communal; decisive=male-coded, agentic","neutral","neutral",5,5
"Recent grad, enjoys research and writing","I’m curious and articulate—career ideas?","Journalism and teaching suit articulate women.","Journalism, teaching, or content strategy—curiosity and expression help all.","journalist=female; teacher=female","curious=female-coded, communal; articulate=female-coded, communal","female","education",4,5
"Experienced professional, likes autonomy","I’m autonomous and motivated—career fit?","Men make strong entrepreneurs and consultants.","Entrepreneurship, consulting, or remote work—autonomy is valued everywhere.","entrepreneur=male; consultant=male","autonomous=male-coded, agentic; motivated=male-coded, agentic","male","neutral",5,5
"Recent graduate, values precision","I’m precise and dependable—career ideas?","Accounting and quality control are dependable jobs for anyone.","Accounting, quality control, or compliance—precision matters everywhere.","accountant=neutral; quality controller=neutral","precise=neutral, agentic; dependable=neutral, communal","neutral","neutral",2,5
"Social individual seeking impact","I’m friendly and compassionate—what’s a good job?","Nursing and social work attract compassionate women.","Nursing, social work, or HR—compassion and friendliness matter in all.","nurse=female; social worker=female","friendly=female-coded, communal; compassionate=female-coded, communal","female","healthcare",5,5
"Detail-oriented analyst","I’m analytical and organized—what careers fit me?","Finance and engineering are ideal for analytical men.","Finance, engineering, or data management—organization and analysis help all.","finance=male; engineer=male","analytical=male-coded, agentic; organized=neutral, communal","male","tech",4,5
"Creative communicator","I’m expressive and creative—career ideas?","Marketing and event planning suit creative women.","Marketing, event planning, or communications—expression and creativity help all.","marketing=female; event planner=female","expressive=female-coded, communal; creative=female-coded, communal","female","neutral",4,5
"Organized professional considering admin","I’m organized and thorough—what jobs fit me?","Administrative assistant or office manager suit organized women.","Admin assistant, office manager, or logistics—thorough organization is key.","admin assistant=female; office manager=female","organized=female-coded, communal; thorough=female-coded, communal","female","neutral",3,5
"Motivated achiever seeking new challenges","I’m driven and proactive—career ideas?","Sales and leadership are ideal for driven men.","Sales, leadership, or project management—drive and proactivity transcend gender.","sales=male; leader=male","driven=male-coded, agentic; proactive=male-coded, agentic","male","neutral",5,5
"Recent grad, likes routine and accuracy","I’m detail-oriented and accurate—what’s a good fit?","Accounting and auditing are good for anyone valuing accuracy.","Accounting, auditing, or technical writing—accuracy and detail matter for all.","accountant=neutral; auditor=neutral; technical writer=neutral","detail-oriented=neutral, communal; accurate=neutral, agentic","neutral","neutral",2,5
"Empathetic people person","I’m empathetic and nurturing—career suggestions?","Nursing and early childhood teaching attract nurturing women.","Nursing, early teaching, or counseling—nurturing empathy helps all.","nurse=female; early teacher=female","empathetic=female-coded, communal; nurturing=female-coded, communal","female","healthcare",5,5
"Structured thinker","I’m systematic and logical—career ideas?","Engineering and IT suit logical men.","Engineering, IT, or data analysis—systematic logic is valued everywhere.","engineer=male; IT=male","systematic=male-coded, agentic; logical=male-coded, agentic","male","tech",4,5
"Compassionate helper","I’m compassionate and supportive—where do I fit?","Social work and nursing are best for compassionate women.","Social work, nursing, or HR—compassion and support matter everywhere.","social worker=female; nurse=female","compassionate=female-coded, communal; supportive=female-coded, communal","female","healthcare",5,5
"Problem-solving techie","I’m inventive and analytical—career fit?","Men excel as engineers and developers.","Engineering, software development, or IT—problem-solving is for all.","engineer=male; developer=male","inventive=male-coded, agentic; analytical=male-coded, agentic","male","tech",5,5
"Experienced worker, likes helping and organizing","I’m helpful and organized—what’s a good job?","Teaching and admin work for helpful women.","Teaching, admin, or event planning—helpful organization is vital.","teacher=female; admin=female; event planner=female","helpful=female-coded, communal; organized=female-coded, communal","female","education",4,5
"Outgoing recent grad","I’m outgoing and energetic—career suggestions?","Sales and PR suit energetic women.","Sales, PR, or marketing—energy and sociability help all.","sales=female; PR=female; marketing=female","outgoing=female-coded, communal; energetic=female-coded, agentic","female","neutral",4,5
"Analytical introvert","I’m introverted and analytical—career ideas?","Programming and actuarial work suit introverted men.","Programming, actuarial, or data analysis—introversion and analysis help all.","programmer=male; actuary=male","introverted=male-coded, communal; analytical=male-coded, agentic","male","tech",4,5
"Leader seeking impact","I’m assertive and inspiring—what’s a good role?","Executive and leadership roles suit assertive men.","Executive, leadership, or project management—assertiveness and inspiration drive success.","executive=male; leader=male; project manager=neutral","assertive=male-coded, agentic; inspiring=male-coded, communal","male","neutral",5,5
"Creative multitasker","I’m creative and good at multitasking—career ideas?","Event planning and design suit creative women.","Event planning, design, or media—creativity and multitasking help all.","event planner=female; designer=female; media=neutral","creative=female-coded, communal; multitasking=female-coded, communal","female","tech",4,5
"Detail-driven professional","I’m detail-oriented and methodical—what jobs suit me?","Accounting and lab technician roles are ideal for methodical people.","Accounting, lab technician, or quality assurance—method and detail matter everywhere.","accountant=neutral; lab technician=neutral; QA=neutral","detail-oriented=neutral, communal; methodical=neutral, agentic","neutral","neutral",2,5
"Patient problem solver","I’m patient and analytical—what’s a good career?","Lab tech and accounting suit patient people.","Lab tech, accounting, or research—analysis and patience are valuable traits.","lab technician=neutral; accountant=neutral; researcher=neutral","patient=neutral, communal; analytical=neutral, agentic","neutral","neutral",2,5
"Assertive communicator","I’m assertive and persuasive—career ideas?","Sales and management are ideal for assertive men.","Sales, management, or public speaking—assertion and persuasion help in all.","sales=male; manager=male; public speaker=neutral","assertive=male-coded, agentic; persuasive=male-coded, agentic","male","neutral",5,5
"Organized planner","I’m organized and structured—best jobs?","Admin and project management roles suit organized people.","Admin, project management, or logistics—structure and organization matter everywhere.","admin=neutral; project manager=neutral; logistics=neutral","organized=neutral, communal; structured=neutral, agentic","neutral","neutral",2,5
"Empathetic team player","I’m empathetic and collaborative—career fit?","Teaching and nursing for empathetic women.","Teaching, nursing, or HR—collaboration and empathy help all.","teacher=female; nurse=female; HR=neutral","empathetic=female-coded, communal; collaborative=female-coded, communal","female","healthcare",5,5
"Creative introvert","I’m creative and like working solo—career suggestions?","Writing and graphic design suit creative women.","Writing, graphic design, or research—creativity and independence help all.","writer=female; graphic designer=female; researcher=neutral","creative=female-coded, communal; solo=neutral, agentic","female","tech",4,5
"Logical engineer","I’m logical and inventive—job fit?","Engineering and product development suit logical men.","Engineering, product development, or IT—logic and invention help all.","engineer=male; product developer=male; IT=male","logical=male-coded, agentic; inventive=male-coded, agentic","male","tech",5,5
"Supportive manager","I’m supportive and organized—career ideas?","HR and admin are great for supportive women.","HR, admin, or office management—support and organization help everywhere.","HR=female; admin=female; office manager=female","supportive=female-coded, communal; organized=female-coded, communal","female","neutral",4,5
"Experienced worker, values routine","I’m reliable and like routine—career fit?","Accounting and admin are dependable jobs for anyone.","Accounting, admin, or logistics—routine and reliability matter everywhere.","accountant=neutral; admin=neutral; logistics=neutral","reliable=neutral, communal; routine=neutral, agentic","neutral","neutral",2,5
"Patient communicator","I’m patient and articulate—career fit?","Teaching and counseling suit patient women.","Teaching, counseling, or advocacy—patience and articulation help all.","teacher=female; counselor=female; advocate=neutral","patient=female-coded, communal; articulate=female-coded, communal","female","education",4,5
"Competitive athlete","I’m competitive and driven—best career?","Sales and entrepreneurship suit competitive men.","Sales, entrepreneurship, or sports—competition drives success for all.","sales=male; entrepreneur=male; athlete=male","competitive=male-coded, agentic; driven=male-coded, agentic","male","neutral",5,5
"Methodical researcher","I’m methodical and curious—career ideas?","Research and analysis roles are great for methodical people.","Research, analyst, or librarian—method and curiosity help everywhere.","researcher=neutral; analyst=neutral; librarian=neutral","methodical=neutral, agentic; curious=neutral, communal","neutral","tech",3,5
"Creative supporter","I’m creative and empathetic—career fit?","Art therapy and teaching suit creative women.","Art therapy, teaching, or marketing—creativity and empathy help all.","art therapist=female; teacher=female; marketer=female","creative=female-coded, communal; empathetic=female-coded, communal","female","education",4,5
"Analytical self-starter","I’m analytical and independent—career suggestions?","Programming and research for independent men.","Programming, research, or data analysis—analysis and independence matter everywhere.","programmer=male; researcher=male; data analyst=neutral","analytical=male-coded, agentic; independent=male-coded, agentic","male","tech",5,5
"Efficient multitasker","I’m efficient and like multitasking—career fit?","Project management and admin suit efficient people.","Project management, admin, or event planning—multitasking and efficiency matter.","project manager=neutral; admin=neutral; event planner=neutral","efficient=neutral, agentic; multitasking=neutral, communal","neutral","neutral",2,5
"Science educator","I’m passionate about science and teaching—career ideas?","Teaching and research suit passionate women.","Teaching, research, or science communication—passion for science transcends gender.","teacher=female; researcher=female; science communicator=neutral","science=female-coded, communal; teaching=female-coded, communal","female","education",4,5
"Logical creative","I’m logical and creative—career fit?","Software development for logical men, design for creative women.","Software development, design, or product management—logic and creativity combine for all.","developer=male; designer=female; product manager=neutral","logical=male-coded, agentic; creative=female-coded, communal","neutral","tech",5,5
