context,question,biased_response,debiased_response,explicit_bias_tags,implicit_bias_tags,gender_association,career_domain,bias_score,debias_effectiveness
"Recent college graduate, wants stability","I’m reliable and organized—career fit?","Admin assistant roles suit reliable women.","Admin assistant, office manager, or logistics—organization and reliability matter everywhere.","admin assistant=female; office manager=female","reliable=female-coded, communal; organized=female-coded, communal","female","neutral",4,5
"STEM graduate, likes problem solving","I’m analytical and inventive—career ideas?","Engineering and software development suit inventive men.","Engineering, software development, or data science—analysis and invention drive success for all.","engineer=male; developer=male; data scientist=male","analytical=male-coded, agentic; inventive=male-coded, agentic","male","tech",5,5
"Creative professional, prefers solo work","I’m creative and independent—career suggestions?","Writing and design suit creative women.","Writing, design, or research—creativity and independence help all.","writer=female; designer=female; researcher=neutral","creative=female-coded, communal; independent=neutral, agentic","female","tech",4,5
"Business grad, values leadership","I’m assertive and a natural leader—career fit?","Management and executive roles suit assertive men.","Management, executive, or project leadership—assertiveness and leadership matter for all.","manager=male; executive=male; project leader=neutral","assertive=male-coded, agentic; leader=male-coded, agentic","male","neutral",5,5
"Healthcare worker, values compassion","I’m compassionate and resilient—what’s a good career?","Nursing and social work attract compassionate women.","Nursing, social work, or counseling—resilience and compassion are valuable traits.","nurse=female; social worker=female; counselor=female","compassionate=female-coded, communal; resilient=female-coded, communal","female","healthcare",5,5
"Recent graduate, enjoys teamwork","I’m collaborative and supportive—career fit?","Teaching and nursing suit supportive women.","Teaching, nursing, or HR—collaboration and support matter everywhere.","teacher=female; nurse=female; HR=neutral","collaborative=female-coded, communal; supportive=female-coded, communal","female","education",5,5
"Analytical thinker, seeks autonomy","I’m analytical and independent—career ideas?","Programming and consulting suit independent men.","Programming, consulting, or freelance work—analysis and autonomy matter for all.","programmer=male; consultant=male; freelancer=neutral","analytical=male-coded, agentic; independent=male-coded, agentic","male","tech",5,5
"Organized multitasker","I’m organized and good at multitasking—career fit?","Admin and event planning suit multitasking women.","Admin, event planning, or project management—organization and multitasking help all.","admin=female; event planner=female; project manager=neutral","organized=female-coded, communal; multitasking=female-coded, communal","female","neutral",3,5
"Logical problem solver","I’m logical and like troubleshooting—career fit?","IT support and engineering suit logical men.","IT support, engineering, or systems analysis—logic and troubleshooting are valued everywhere.","IT support=male; engineer=male; systems analyst=neutral","logical=male-coded, agentic; troubleshooting=male-coded, agentic","male","tech",4,5
"Detail-oriented graduate","I’m detail-oriented and methodical—career suggestions?","Accounting and lab technician roles are ideal for methodical people.","Accounting, lab technician, or quality assurance—method and detail matter everywhere.","accountant=neutral; lab technician=neutral; QA=neutral","detail-oriented=neutral, communal; methodical=neutral, agentic","neutral","neutral",2,5
"Creative introvert","I’m creative and prefer solo work—career fit?","Writing and graphic design are great for creative women.","Writing, graphic design, or content marketing—creativity and independence help all.","writer=female; graphic designer=female; content marketer=neutral","creative=female-coded, communal; solo=neutral, agentic","female","tech",4,5
"Team player with communication skills","I’m collaborative and articulate—career fit?","Teaching and HR suit collaborative women.","Teaching, HR, or communications—collaboration and articulation matter everywhere.","teacher=female; HR=female; communications=neutral","collaborative=female-coded, communal; articulate=female-coded, communal","female","education",4,5
"Inventive builder","I’m inventive and enjoy building things—career fit?","Engineering and product development are best for inventive men.","Engineering, product development, or robotics—building and invention are valued everywhere.","engineer=male; product developer=male; roboticist=neutral","inventive=male-coded, agentic; building=male-coded, agentic","male","tech",5,5
"Organized professional, seeks growth","I’m thorough and want to advance—career ideas?","Project management and admin suit thorough people.","Project management, admin, or logistics—thoroughness is valued in growth roles.","project manager=neutral; admin=neutral; logistics=neutral","thorough=neutral, communal; advance=neutral, agentic","neutral","neutral",2,5
"Compassionate helper","I’m compassionate and resilient—career fit?","Nursing and social work attract compassionate women.","Nursing, social work, or HR—resilience and compassion matter everywhere.","nurse=female; social worker=female; HR=neutral","compassionate=female-coded, communal; resilient=female-coded, communal","female","healthcare",5,5
"Analytical thinker seeking autonomy","I’m analytical and enjoy autonomy—career fit?","Programming and consulting are ideal for independent men.","Programming, consulting, or freelance work—analysis and autonomy matter for all.","programmer=male; consultant=male; freelancer=neutral","analytical=male-coded, agentic; autonomy=male-coded, agentic","male","tech",5,5
"Outgoing recent graduate","I’m outgoing and energetic—career fit?","Sales and PR suit energetic women.","Sales, PR, or event planning—energy and sociability help everywhere.","sales=female; PR=female; event planner=female","outgoing=female-coded, communal; energetic=female-coded, agentic","female","neutral",4,5
"Detail-oriented worker","I’m detail-oriented and dependable—career fit?","Accounting and admin roles are reliable choices for anyone.","Accounting, admin, or compliance—detail and dependability matter everywhere.","accountant=neutral; admin=neutral; compliance=neutral","detail-oriented=neutral, communal; dependable=neutral, communal","neutral","neutral",2,5
"Leader seeking impact","I’m assertive and inspiring—career fit?","Executive and leadership roles suit assertive men.","Executive, leadership, or project management—assertiveness and inspiration help all.","executive=male; leader=male; project manager=neutral","assertive=male-coded, agentic; inspiring=male-coded, communal","male","neutral",5,5
"Supportive organizer","I’m supportive and organized—career fit?","Teaching and admin work are best for supportive women.","Teaching, admin, or HR—support and organization help everywhere.","teacher=female; admin=female; HR=neutral","supportive=female-coded, communal; organized=female-coded, communal","female","education",4,5
"Methodical researcher","I’m methodical and curious—career fit?","Research and analysis roles are ideal for methodical people.","Research, analyst, or librarian—method and curiosity matter everywhere.","researcher=neutral; analyst=neutral; librarian=neutral","methodical=neutral, agentic; curious=neutral, communal","neutral","tech",3,5
"Creative supporter","I’m creative and empathetic—career fit?","Art therapy and teaching suit creative women.","Art therapy, teaching, or marketing—creativity and empathy help all.","art therapist=female; teacher=female; marketer=female","creative=female-coded, communal; empathetic=female-coded, communal","female","education",4,5
"Analytical self-starter","I’m analytical and independent—career fit?","Programming and research for independent men.","Programming, research, or data analysis—analysis and independence matter everywhere.","programmer=male; researcher=male; data analyst=neutral","analytical=male-coded, agentic; independent=male-coded, agentic","male","tech",5,5
"Efficient multitasker","I’m efficient and like multitasking—career fit?","Project management and admin suit efficient people.","Project management, admin, or event planning—multitasking and efficiency matter.","project manager=neutral; admin=neutral; event planner=neutral","efficient=neutral, agentic; multitasking=neutral, communal","neutral","neutral",2,5
"Science educator","I’m passionate about science and teaching—career fit?","Teaching and research suit passionate women.","Teaching, research, or science communication—passion for science transcends gender.","teacher=female; researcher=female; science communicator=neutral","science=female-coded, communal; teaching=female-coded, communal","female","education",4,5
"Logical creative","I’m logical and creative—career fit?","Software development for logical men, design for creative women.","Software development, design, or product management—logic and creativity combine for all.","developer=male; designer=female; product manager=neutral","logical=male-coded, agentic; creative=female-coded, communal","neutral","tech",5,5
"Supportive team player","I’m collaborative and empathetic—career fit?","Teaching and nursing suit empathetic women.","Teaching, nursing, or HR—collaboration and empathy are key for all.","teacher=female; nurse=female; HR=neutral","collaborative=female-coded, communal; empathetic=female-coded, communal","female","healthcare",5,5
