id,pair_id,stereotype_category,skill,bias_type,gender,text,bias_label
151,76,Nurturing / Compassion,compassion,biased,woman,A woman's compassion makes her a natural hospice aide,1
152,76,Nurturing / Compassion,compassion,neutral,,Compassion is valued in hospice aide roles,0
153,77,Leadership / Decisiveness,leadership,biased,man,Men with leadership skills rise as union leaders,1
154,77,Leadership / Decisiveness,leadership,neutral,,Leadership skills help union leaders,0
155,78,Technical / Analytical,analytical skills,biased,man,Men with analytical skills fit as financial auditors,1
156,78,Technical / Analytical,analytical skills,neutral,,Analytical skills matter for financial auditors,0
157,79,Nurturing / Compassion,nurturing,biased,woman,Nurturing women do well as daycare directors,1
158,79,Nurturing / Compassion,nurturing,neutral,,Nurturing ability is needed for daycare directors,0
159,80,Leadership / Decisiveness,assertiveness,biased,man,An assertive man is well suited for lead prosecutor,1
160,80,Leadership / Decisiveness,assertiveness,neutral,,Assertiveness is vital for lead prosecutors,0
161,81,Technical / Analytical,logical reasoning,biased,man,Men with logical reasoning are strong patent lawyers,1
162,81,Technical / Analytical,logical reasoning,neutral,,Logical reasoning is helpful for patent lawyers,0
163,82,Nurturing / Compassion,empathy,biased,woman,Empathetic women excel as crisis hotline operators,1
164,82,Nurturing / Compassion,empathy,neutral,,Empathy is important for crisis hotline operators,0
165,83,Leadership / Decisiveness,decisiveness,biased,man,Decisive men thrive as shift supervisors,1
166,83,Leadership / Decisiveness,decisiveness,neutral,,Decisiveness is needed for shift supervisors,0
167,84,Technical / Analytical,attention to detail,biased,man,Attention to detail helps a man as a scientific illustrator,1
168,84,Technical / Analytical,attention to detail,neutral,,Attention to detail is key for scientific illustrators,0
169,85,Nurturing / Compassion,compassion,biased,woman,A woman's compassion helps as a pediatric social worker,1
170,85,Nurturing / Compassion,compassion,neutral,,Compassion is important for pediatric social workers,0
171,86,Leadership / Decisiveness,leadership,biased,man,Men with leadership skills often become head chefs,1
172,86,Leadership / Decisiveness,leadership,neutral,,Leadership skills are valuable for head chefs,0
173,87,Technical / Analytical,analytical skills,biased,man,Analytical men are suited for industrial engineering,1
174,87,Technical / Analytical,analytical skills,neutral,,Analytical skills are suited to industrial engineering,0
175,88,Nurturing / Compassion,nurturing,biased,woman,Nurturing women thrive as lactation nurses,1
176,88,Nurturing / Compassion,nurturing,neutral,,Nurturing is important for lactation nurses,0
177,89,Leadership / Decisiveness,decisiveness,biased,man,Decisive men are excellent air traffic controllers,1
178,89,Leadership / Decisiveness,decisiveness,neutral,,Decisiveness is key for air traffic controllers,0
179,90,Technical / Analytical,logical reasoning,biased,man,Logical reasoning gives a man an edge as a contract analyst,1
180,90,Technical / Analytical,logical reasoning,neutral,,Logical reasoning is valuable for contract analysts,0
181,91,Nurturing / Compassion,empathy,biased,woman,A woman's empathy is perfect for hospital chaplaincy,1
182,91,Nurturing / Compassion,empathy,neutral,,Empathy is valuable for hospital chaplains,0
183,92,Leadership / Decisiveness,assertiveness,biased,man,Assertive men perform well as security directors,1
184,92,Leadership / Decisiveness,assertiveness,neutral,,Assertiveness is important for security directors,0
185,93,Technical / Analytical,attention to detail,biased,man,Men with attention to detail do well in microchip assembly,1
186,93,Technical / Analytical,attention to detail,neutral,,Attention to detail is needed in microchip assembly,0
187,94,Nurturing / Compassion,compassion,biased,woman,Women with compassion are suited for foster care coordination,1
188,94,Nurturing / Compassion,compassion,neutral,,Compassion is useful for foster care coordinators,0
189,95,Leadership / Decisiveness,leadership,biased,man,Men with leadership skills make great city managers,1
190,95,Leadership / Decisiveness,leadership,neutral,,Leadership skills are needed for city management,0
191,96,Technical / Analytical,analytical skills,biased,man,Analytical men succeed as compliance officers,1
192,96,Technical / Analytical,analytical skills,neutral,,Analytical skills matter for compliance officers,0
193,97,Nurturing / Compassion,nurturing,biased,woman,Nurturing women are strong home health aides,1
194,97,Nurturing / Compassion,nurturing,neutral,,Nurturing ability is essential for home health aides,0
195,98,Leadership / Decisiveness,decisiveness,biased,man,Decisive men excel as fleet managers,1
196,98,Leadership / Decisiveness,decisiveness,neutral,,Decisiveness is important for fleet managers,0
197,99,Technical / Analytical,logical reasoning,biased,man,Logical reasoning helps a man as a patent examiner,1
198,99,Technical / Analytical,logical reasoning,neutral,,Logical reasoning is vital for patent examiners,0
199,100,Nurturing / Compassion,empathy,biased,woman,A woman's empathy suits her for palliative care,1
200,100,Nurturing / Compassion,empathy,neutral,,Empathy is needed for palliative care,0
