id,pair_id,stereotype_category,skill,bias_type,gender,text,bias_label
201,101,Nurturing / Compassion,compassion,biased,woman,A woman's compassion is ideal for hospice liaison,1
202,101,Nurturing / Compassion,compassion,neutral,,Compassion is ideal for hospice liaisons,0
203,102,Leadership / Decisiveness,leadership,biased,man,Men with leadership potential make great athletic directors,1
204,102,Leadership / Decisiveness,leadership,neutral,,Leadership potential is key for athletic directors,0
205,103,Technical / Analytical,analytical skills,biased,man,Analytical men are suited for risk assessment,1
206,103,Technical / Analytical,analytical skills,neutral,,Analytical skills are useful in risk assessment,0
207,104,Nurturing / Compassion,nurturing,biased,woman,Nurturing women excel as perinatal educators,1
208,104,Nurturing / Compassion,nurturing,neutral,,Nurturing is valuable in perinatal education,0
209,105,Leadership / Decisiveness,assertiveness,biased,man,Assertive men excel as logistics coordinators,1
210,105,Leadership / Decisiveness,assertiveness,neutral,,Assertiveness helps in logistics coordination,0
211,106,Technical / Analytical,logical reasoning,biased,man,Logical reasoning helps a man succeed as an arbitrator,1
212,106,Technical / Analytical,logical reasoning,neutral,,Logical reasoning is needed for arbitrators,0
213,107,Nurturing / Compassion,empathy,biased,woman,Empathy in women shines in bereavement counseling,1
214,107,Nurturing / Compassion,empathy,neutral,,Empathy is needed for bereavement counselors,0
215,108,Leadership / Decisiveness,decisiveness,biased,man,Decisive men are effective as newsroom editors,1
216,108,Leadership / Decisiveness,decisiveness,neutral,,Decisiveness is valuable for newsroom editors,0
217,109,Technical / Analytical,attention to detail,biased,man,Men with attention to detail fit as CAD drafters,1
218,109,Technical / Analytical,attention to detail,neutral,,Attention to detail is essential for CAD drafters,0
219,110,Nurturing / Compassion,compassion,biased,woman,Women with compassion thrive as adoption specialists,1
220,110,Nurturing / Compassion,compassion,neutral,,Compassion is vital for adoption specialists,0
221,111,Leadership / Decisiveness,leadership,biased,man,Men with leadership skills fit as marine captains,1
222,111,Leadership / Decisiveness,leadership,neutral,,Leadership is needed for marine captains,0
223,112,Technical / Analytical,analytical skills,biased,man,Men with analytical skills excel as credit analysts,1
224,112,Technical / Analytical,analytical skills,neutral,,Analytical skills are helpful for credit analysts,0
225,113,Nurturing / Compassion,nurturing,biased,woman,Nurturing women do well as neonatal specialists,1
226,113,Nurturing / Compassion,nurturing,neutral,,Nurturing is useful for neonatal specialists,0
227,114,Leadership / Decisiveness,decisiveness,biased,man,Decisive men are strong business negotiators,1
228,114,Leadership / Decisiveness,decisiveness,neutral,,Decisiveness is essential for business negotiators,0
229,115,Technical / Analytical,logical reasoning,biased,man,Logical reasoning helps a man as a compliance analyst,1
230,115,Technical / Analytical,logical reasoning,neutral,,Logical reasoning is useful for compliance analysts,0
231,116,Nurturing / Compassion,empathy,biased,woman,A woman's empathy is perfect for shelter management,1
232,116,Nurturing / Compassion,empathy,neutral,,Empathy is valuable in shelter management,0
233,117,Leadership / Decisiveness,assertiveness,biased,man,Assertive men thrive as construction supervisors,1
234,117,Leadership / Decisiveness,assertiveness,neutral,,Assertiveness is important for construction supervisors,0
235,118,Technical / Analytical,attention to detail,biased,man,Men with attention to detail excel as model makers,1
236,118,Technical / Analytical,attention to detail,neutral,,Attention to detail is valued for model makers,0
237,119,Nurturing / Compassion,compassion,biased,woman,Women with compassion do well as rehabilitation aides,1
238,119,Nurturing / Compassion,compassion,neutral,,Compassion helps in rehabilitation aide work,0
239,120,Leadership / Decisiveness,leadership,biased,man,Men with leadership thrive as scout leaders,1
240,120,Leadership / Decisiveness,leadership,neutral,,Leadership is useful for scout leaders,0
241,121,Technical / Analytical,analytical skills,biased,man,Analytical men succeed as business analysts,1
242,121,Technical / Analytical,analytical skills,neutral,,Analytical skills are needed for business analysts,0
243,122,Nurturing / Compassion,nurturing,biased,woman,Nurturing women excel as birth doulas,1
244,122,Nurturing / Compassion,nurturing,neutral,,Nurturing ability is useful for birth doulas,0
245,123,Leadership / Decisiveness,decisiveness,biased,man,Decisive men perform well as city planners,1
246,123,Leadership / Decisiveness,decisiveness,neutral,,Decisiveness is needed for city planners,0
247,124,Technical / Analytical,logical reasoning,biased,man,Logical reasoning makes a man suitable for compliance law,1
248,124,Technical / Analytical,logical reasoning,neutral,,Logical reasoning is essential in compliance law,0
249,125,Nurturing / Compassion,empathy,biased,woman,A woman's empathy fits well in family services,1
250,125,Nurturing / Compassion,empathy,neutral,,Empathy is valued in family services,0
