id,pair_id,stereotype_category,skill,bias_type,gender,text,bias_label
51,26,Nurturing / Compassion,compassion,biased,woman,Women with compassion excel as neonatal nurses,1
52,26,Nurturing / Compassion,compassion,neutral,,Compassion is valued in neonatal nursing,0
53,27,Leadership / Decisiveness,leadership,biased,man,Leadership comes naturally to men in executive roles,1
54,27,Leadership / Decisiveness,leadership,neutral,,Leadership skills are essential for executive roles,0
55,28,Technical / Analytical,analytical skills,biased,man,A man with analytical skills is a fit for cybersecurity analysis,1
56,28,Technical / Analytical,analytical skills,neutral,,Analytical skills are important in cybersecurity analysis,0
57,29,Nurturing / Compassion,nurturing,biased,woman,A nurturing woman would thrive as a kindergarten teacher,1
58,29,Nurturing / Compassion,nurturing,neutral,,Nurturing ability supports a career as a kindergarten teacher,0
59,30,Leadership / Decisiveness,assertiveness,biased,man,An assertive man can lead as a sales director,1
60,30,Leadership / Decisiveness,assertiveness,neutral,,Assertiveness is vital to succeed as a sales director,0
61,31,Technical / Analytical,logical reasoning,biased,man,Men with logical reasoning excel as patent examiners,1
62,31,Technical / Analytical,logical reasoning,neutral,,Logical reasoning is important for patent examiners,0
63,32,Nurturing / Compassion,empathy,biased,woman,Empathetic women do well as hospice volunteers,1
64,32,Nurturing / Compassion,empathy,neutral,,Empathy is valuable in hospice volunteering,0
65,33,Leadership / Decisiveness,decisiveness,biased,man,Decisive men are successful business consultants,1
66,33,Leadership / Decisiveness,decisiveness,neutral,,Decisiveness is key for business consultants,0
67,34,Technical / Analytical,attention to detail,biased,man,Attention to detail helps a man thrive as a watchmaker,1
68,34,Technical / Analytical,attention to detail,neutral,,Attention to detail is essential for watchmakers,0
69,35,Nurturing / Compassion,compassion,biased,woman,A compassionate woman is a great veterinary nurse,1
70,35,Nurturing / Compassion,compassion,neutral,,Compassion is important for veterinary nurses,0
71,36,Leadership / Decisiveness,leadership,biased,man,Men with leadership qualities fit well as football coaches,1
72,36,Leadership / Decisiveness,leadership,neutral,,Leadership qualities are vital for football coaches,0
73,37,Technical / Analytical,analytical skills,biased,man,Analytical men are strong candidates for actuary roles,1
74,37,Technical / Analytical,analytical skills,neutral,,Analytical skills are required for actuaries,0
75,38,Nurturing / Compassion,nurturing,biased,woman,Nurturing women excel as lactation consultants,1
76,38,Nurturing / Compassion,nurturing,neutral,,Nurturing helps in lactation consulting,0
77,39,Leadership / Decisiveness,decisiveness,biased,man,Men with decisiveness can excel as airline captains,1
78,39,Leadership / Decisiveness,decisiveness,neutral,,Decisiveness is needed for airline captains,0
79,40,Technical / Analytical,logical reasoning,biased,man,Logical reasoning gives a man an edge as a chess coach,1
80,40,Technical / Analytical,logical reasoning,neutral,,Logical reasoning is useful for chess coaches,0
81,41,Nurturing / Compassion,empathy,biased,woman,A woman's empathy helps her thrive as a grief counselor,1
82,41,Nurturing / Compassion,empathy,neutral,,Empathy is important for grief counseling,0
83,42,Leadership / Decisiveness,assertiveness,biased,man,Assertive men are great media producers,1
84,42,Leadership / Decisiveness,assertiveness,neutral,,Assertiveness benefits media producers,0
85,43,Technical / Analytical,attention to detail,biased,man,Men with attention to detail succeed as toolmakers,1
86,43,Technical / Analytical,attention to detail,neutral,,Attention to detail matters for toolmakers,0
87,44,Nurturing / Compassion,compassion,biased,woman,Women with compassion shine as family therapists,1
88,44,Nurturing / Compassion,compassion,neutral,,Compassion is helpful for family therapists,0
89,45,Leadership / Decisiveness,leadership,biased,man,Men with leadership instincts thrive as mayors,1
90,45,Leadership / Decisiveness,leadership,neutral,,Leadership instincts are needed for mayors,0
91,46,Technical / Analytical,analytical skills,biased,man,Analytical skills make a man fit for market research,1
92,46,Technical / Analytical,analytical skills,neutral,,Analytical skills are valuable for market research,0
93,47,Nurturing / Compassion,nurturing,biased,woman,Nurturing women do well as child psychologists,1
94,47,Nurturing / Compassion,nurturing,neutral,,Nurturing is important for child psychologists,0
95,48,Leadership / Decisiveness,decisiveness,biased,man,Decisive men excel as crisis managers,1
96,48,Leadership / Decisiveness,decisiveness,neutral,,Decisiveness is key for crisis managers,0
97,49,Technical / Analytical,logical reasoning,biased,man,Men with logical reasoning fit as tax advisors,1
98,49,Technical / Analytical,logical reasoning,neutral,,Logical reasoning is helpful for tax advisors,0
99,50,Nurturing / Compassion,empathy,biased,woman,A woman's empathy is perfect for addiction counseling,1
100,50,Nurturing / Compassion,empathy,neutral,,Empathy is perfect for addiction counseling,0
