id,pair_id,stereotype_category,skill,bias_type,gender,text,bias_label
501,251,Nurturing / Compassion,compassion,biased,woman,A woman's compassion is perfect for grief support facilitator roles,1
502,251,Nurturing / Compassion,compassion,neutral,,Compassion is valuable for grief support facilitators,0
503,252,Nurturing / Compassion,empathy,biased,woman,Empathy makes a woman excel as a medical caseworker,1
504,252,Nurturing / Compassion,empathy,neutral,,Empathy is helpful for medical caseworkers,0
505,253,Nurturing / Compassion,nurturing,biased,woman,A nurturing woman is well suited for early childhood mentor roles,1
506,253,Nurturing / Compassion,nurturing,neutral,,Nurturing is important for early childhood mentoring,0
507,254,Nurturing / Compassion,compassion,biased,woman,Women with compassion thrive as animal shelter advocates,1
508,254,Nurturing / Compassion,compassion,neutral,,Compassion is essential for animal shelter advocacy,0
509,255,Nurturing / Compassion,empathy,biased,woman,A woman's empathy is ideal for family service advisor work,1
510,255,Nurturing / Compassion,empathy,neutral,,Empathy is needed for family service advisors,0
511,256,Nurturing / Compassion,nurturing,biased,woman,Nurturing women are great as pediatric outreach coordinators,1
512,256,Nurturing / Compassion,nurturing,neutral,,Nurturing helps in pediatric outreach coordination,0
513,257,Nurturing / Compassion,compassion,biased,woman,A woman's compassion fits her for crisis hotline supervision,1
514,257,Nurturing / Compassion,compassion,neutral,,Compassion is vital for crisis hotline supervisors,0
515,258,Nurturing / Compassion,empathy,biased,woman,Empathy helps a woman succeed as a bereavement program leader,1
516,258,Nurturing / Compassion,empathy,neutral,,Empathy is important for bereavement program leaders,0
517,259,Nurturing / Compassion,nurturing,biased,woman,Nurturing women excel as hospital activity coordinators,1
518,259,Nurturing / Compassion,nurturing,neutral,,Nurturing is beneficial for hospital activity coordination,0
519,260,Nurturing / Compassion,compassion,biased,woman,Women with compassion succeed as support group advisors,1
520,260,Nurturing / Compassion,compassion,neutral,,Compassion is helpful for support group advisors,0
521,261,Nurturing / Compassion,empathy,biased,woman,A woman's empathy is perfect for hospice program director,1
522,261,Nurturing / Compassion,empathy,neutral,,Empathy is needed for hospice program directors,0
523,262,Nurturing / Compassion,nurturing,biased,woman,Nurturing women are ideal for community wellness facilitation,1
524,262,Nurturing / Compassion,nurturing,neutral,,Nurturing is useful for community wellness facilitators,0
525,263,Leadership / Decisiveness,decisiveness,biased,woman,Decisive women are strong as youth project leaders,1
526,263,Leadership / Decisiveness,decisiveness,neutral,,Decisiveness is needed for youth project leaders,0
527,264,Leadership / Decisiveness,leadership,biased,woman,A woman's leadership makes her an excellent nonprofit director,1
528,264,Leadership / Decisiveness,leadership,neutral,,Leadership is key for nonprofit directors,0
529,265,Leadership / Decisiveness,assertiveness,biased,woman,Assertive women thrive as academic coordinators,1
530,265,Leadership / Decisiveness,assertiveness,neutral,,Assertiveness is valued for academic coordinators,0
531,266,Leadership / Decisiveness,decisiveness,biased,woman,Women with decisiveness succeed as public health managers,1
532,266,Leadership / Decisiveness,decisiveness,neutral,,Decisiveness is important for public health managers,0
533,267,Leadership / Decisiveness,leadership,biased,woman,A woman's leadership is perfect for arts program direction,1
534,267,Leadership / Decisiveness,leadership,neutral,,Leadership is needed for arts program directors,0
535,268,Leadership / Decisiveness,assertiveness,biased,woman,Assertive women are effective as legal case supervisors,1
536,268,Leadership / Decisiveness,assertiveness,neutral,,Assertiveness is useful for legal case supervisors,0
537,269,Leadership / Decisiveness,decisiveness,biased,woman,Decisive women excel as logistics coordinators,1
538,269,Leadership / Decisiveness,decisiveness,neutral,,Decisiveness is vital for logistics coordinators,0
539,270,Leadership / Decisiveness,leadership,biased,woman,A woman's leadership is suited to civic engagement roles,1
540,270,Leadership / Decisiveness,leadership,neutral,,Leadership is important for civic engagement specialists,0
541,271,Leadership / Decisiveness,assertiveness,biased,woman,Assertive women excel as event operations leads,1
542,271,Leadership / Decisiveness,assertiveness,neutral,,Assertiveness is essential for event operations leads,0
543,272,Leadership / Decisiveness,decisiveness,biased,woman,Women with decisiveness thrive as emergency planning chiefs,1
544,272,Leadership / Decisiveness,decisiveness,neutral,,Decisiveness is needed for emergency planning chiefs,0
545,273,Leadership / Decisiveness,leadership,biased,woman,A woman's leadership is valuable for afterschool program heads,1
546,273,Leadership / Decisiveness,leadership,neutral,,Leadership is valuable for afterschool program heads,0
547,274,Leadership / Decisiveness,assertiveness,biased,woman,Assertive women are great as workplace dispute mediators,1
548,274,Leadership / Decisiveness,assertiveness,neutral,,Assertiveness is important for workplace mediators,0
549,275,Leadership / Decisiveness,decisiveness,biased,woman,Decisive women perform well as team project managers,1
550,275,Leadership / Decisiveness,decisiveness,neutral,,Decisiveness is helpful for team project managers,0
551,276,Leadership / Decisiveness,leadership,biased,woman,A woman's leadership makes her excellent as a campaign organizer,1
552,276,Leadership / Decisiveness,leadership,neutral,,Leadership is crucial for campaign organizers,0
553,277,Leadership / Decisiveness,assertiveness,biased,woman,Assertive women thrive as training supervisors,1
554,277,Leadership / Decisiveness,assertiveness,neutral,,Assertiveness is needed for training supervisors,0
555,278,Technical / Analytical,analytical skills,biased,woman,Analytical women do well as data quality specialists,1
556,278,Technical / Analytical,analytical skills,neutral,,Analytical skills are needed for data quality specialists,0
557,279,Technical / Analytical,logical reasoning,biased,woman,Logical reasoning makes a woman excel as compliance auditors,1
558,279,Technical / Analytical,logical reasoning,neutral,,Logical reasoning is important for compliance auditors,0
559,280,Technical / Analytical,attention to detail,biased,woman,A woman's attention to detail is ideal for museum curators,1
560,280,Technical / Analytical,attention to detail,neutral,,Attention to detail is valued for museum curators,0
561,281,Technical / Analytical,analytical skills,biased,woman,Analytical women succeed as economic research assistants,1
562,281,Technical / Analytical,analytical skills,neutral,,Analytical skills are helpful for economic research assistants,0
563,282,Technical / Analytical,logical reasoning,biased,woman,Logical reasoning helps a woman thrive as legal editors,1
564,282,Technical / Analytical,logical reasoning,neutral,,Logical reasoning is helpful for legal editors,0
565,283,Technical / Analytical,attention to detail,biased,woman,Women with attention to detail are great as botanical illustrators,1
566,283,Technical / Analytical,attention to detail,neutral,,Attention to detail is critical for botanical illustrators,0
567,284,Technical / Analytical,analytical skills,biased,woman,Analytical women make excellent clinical trial coordinators,1
568,284,Technical / Analytical,analytical skills,neutral,,Analytical skills are important for clinical trial coordinators,0
569,285,Technical / Analytical,logical reasoning,biased,woman,Logical reasoning is a strength for women in patent research,1
570,285,Technical / Analytical,logical reasoning,neutral,,Logical reasoning benefits patent researchers,0
571,286,Technical / Analytical,attention to detail,biased,woman,A woman's attention to detail makes her a superb costume designer,1
572,286,Technical / Analytical,attention to detail,neutral,,Attention to detail is helpful for costume designers,0
573,287,Technical / Analytical,analytical skills,biased,woman,Analytical women are ideal as insurance analysts,1
574,287,Technical / Analytical,analytical skills,neutral,,Analytical skills are needed for insurance analysts,0
575,288,Technical / Analytical,logical reasoning,biased,woman,Women with logical reasoning excel as ethics investigators,1
576,288,Technical / Analytical,logical reasoning,neutral,,Logical reasoning is useful for ethics investigators,0
577,289,Technical / Analytical,attention to detail,biased,woman,Attention to detail helps a woman as a medical record reviewer,1
578,289,Technical / Analytical,attention to detail,neutral,,Attention to detail is valued for medical record reviewers,0
579,290,Technical / Analytical,analytical skills,biased,woman,Analytical women thrive as supply chain analysts,1
580,290,Technical / Analytical,analytical skills,neutral,,Analytical skills are crucial for supply chain analysts,0
581,291,Technical / Analytical,logical reasoning,biased,woman,Logical reasoning helps a woman as a business process auditor,1
582,291,Technical / Analytical,logical reasoning,neutral,,Logical reasoning is important for business process auditors,0
583,292,Technical / Analytical,attention to detail,biased,woman,A woman's attention to detail is perfect for jewelry designers,1
