id,pair_id,stereotype_category,skill,bias_type,gender,text,bias_label
401,201,Nurturing / Compassion,compassion,biased,woman,A woman's compassion is ideal for patient liaison roles,1
402,201,Nurturing / Compassion,compassion,neutral,,Compassion is important for patient liaisons,0
403,202,Leadership / Decisiveness,leadership,biased,man,Men with leadership skills thrive as operations managers,1
404,202,Leadership / Decisiveness,leadership,neutral,,Leadership skills are needed for operations managers,0
405,203,Technical / Analytical,analytical skills,biased,man,Analytical men excel as technical consultants,1
406,203,Technical / Analytical,analytical skills,neutral,,Analytical skills are valuable for technical consultants,0
407,204,Nurturing / Compassion,nurturing,biased,woman,Nurturing women are great as guidance counselors,1
408,204,Nurturing / Compassion,nurturing,neutral,,Nurturing is helpful for guidance counselors,0
409,205,Leadership / Decisiveness,assertiveness,biased,man,Assertive men are strong insurance adjusters,1
410,205,Leadership / Decisiveness,assertiveness,neutral,,Assertiveness is important for insurance adjusters,0
411,206,Technical / Analytical,logical reasoning,biased,man,Logical reasoning makes a man a skilled compliance auditor,1
412,206,Technical / Analytical,logical reasoning,neutral,,Logical reasoning is valued for compliance auditors,0
413,207,Nurturing / Compassion,empathy,biased,woman,A woman's empathy suits her for hospice social work,1
414,207,Nurturing / Compassion,empathy,neutral,,Empathy is needed for hospice social workers,0
415,208,Leadership / Decisiveness,decisiveness,biased,man,Decisive men thrive as field supervisors,1
416,208,Leadership / Decisiveness,decisiveness,neutral,,Decisiveness is important for field supervisors,0
417,209,Technical / Analytical,attention to detail,biased,man,Men with attention to detail do well as jewelry appraisers,1
418,209,Technical / Analytical,attention to detail,neutral,,Attention to detail is vital for jewelry appraisers,0
419,210,Nurturing / Compassion,compassion,biased,woman,Women with compassion excel as youth counselors,1
420,210,Nurturing / Compassion,compassion,neutral,,Compassion is important for youth counselors,0
421,211,Leadership / Decisiveness,leadership,biased,man,Men with leadership often become shipping supervisors,1
422,211,Leadership / Decisiveness,leadership,neutral,,Leadership is helpful for shipping supervisors,0
423,212,Technical / Analytical,analytical skills,biased,man,Analytical men thrive as research coordinators,1
424,212,Technical / Analytical,analytical skills,neutral,,Analytical skills are useful for research coordinators,0
425,213,Nurturing / Compassion,nurturing,biased,woman,Nurturing women thrive as early interventionists,1
426,213,Nurturing / Compassion,nurturing,neutral,,Nurturing is key for early interventionists,0
427,214,Leadership / Decisiveness,decisiveness,biased,man,Decisive men are strong warehouse foremen,1
428,214,Leadership / Decisiveness,decisiveness,neutral,,Decisiveness is valued for warehouse foremen,0
429,215,Technical / Analytical,logical reasoning,biased,man,Logical reasoning helps a man as a regulatory specialist,1
430,215,Technical / Analytical,logical reasoning,neutral,,Logical reasoning is important for regulatory specialists,0
431,216,Nurturing / Compassion,empathy,biased,woman,A woman's empathy is ideal for family mediation,1
432,216,Nurturing / Compassion,empathy,neutral,,Empathy is ideal for family mediation,0
433,217,Leadership / Decisiveness,assertiveness,biased,man,Assertive men are effective department heads,1
434,217,Leadership / Decisiveness,assertiveness,neutral,,Assertiveness helps as a department head,0
435,218,Technical / Analytical,attention to detail,biased,man,Men with attention to detail are skilled as map makers,1
436,218,Technical / Analytical,attention to detail,neutral,,Attention to detail is important for map makers,0
437,219,Nurturing / Compassion,compassion,biased,woman,A woman's compassion makes her a great support worker,1
438,219,Nurturing / Compassion,compassion,neutral,,Compassion is helpful for support workers,0
439,220,Leadership / Decisiveness,leadership,biased,man,Men with leadership excel as district attorneys,1
440,220,Leadership / Decisiveness,leadership,neutral,,Leadership is important for district attorneys,0
441,221,Technical / Analytical,analytical skills,biased,man,Analytical men do well as logistics planners,1
442,221,Technical / Analytical,analytical skills,neutral,,Analytical skills are useful for logistics planners,0
443,222,Nurturing / Compassion,nurturing,biased,woman,Nurturing women are strong as preschool directors,1
444,222,Nurturing / Compassion,nurturing,neutral,,Nurturing is essential for preschool directors,0
445,223,Leadership / Decisiveness,decisiveness,biased,man,Decisive men thrive as incident commanders,1
446,223,Leadership / Decisiveness,decisiveness,neutral,,Decisiveness is needed for incident commanders,0
447,224,Technical / Analytical,logical reasoning,biased,man,Logical reasoning makes a man excel as a patent agent,1
448,224,Technical / Analytical,logical reasoning,neutral,,Logical reasoning is vital for patent agents,0
449,225,Nurturing / Compassion,empathy,biased,woman,Empathetic women are great as recovery coaches,1
450,225,Nurturing / Compassion,empathy,neutral,,Empathy is essential for recovery coaches,0
